#NSGA2
popsize 50
maxGen 100
numVar 2
numObj 2
numCons 2
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	50
totalTime	0.0187342
firstFrontCount	2
frontCount	49
avgEvalTime	6.47282e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
2.43834	0.979228	2.43834	0.979228	0	0	
0.807352	2.93159	0.807352	2.93159	0	0	
1.81284	0.26517	1.81284	0.26517	0	0	
2.88518	2.09447	2.88518	2.09447	0	0	
1.45696	1.59625	1.45696	1.59625	0	0	
2.52421	2.25316	2.52421	2.25316	0	0	
1.98402	2.74899	1.98402	2.74899	0	0	
2.00069	0.931752	2.00069	0.931752	0	0	
0.542401	1.16305	0.542401	1.16305	0	0	
1.21681	1.77956	1.21681	1.77956	0	0	
1.95017	2.13125	1.95017	2.13125	0	0	
1.23562	2.85862	1.23562	2.85862	0	0	
1.82309	1.82602	1.82309	1.82602	0	0	
3.11283	3.08733	3.11283	3.08733	0	0	
1.76358	2.39842	1.76358	2.39842	0	0	
0.801309	1.54645	0.801309	1.54645	0	0	
0.205161	0.440959	0.205161	0.440959	0	0	
2.64711	2.69902	2.64711	2.69902	0	0	
3.1033	1.09518	3.1033	1.09518	0	0	
1.15846	0.979609	1.15846	0.979609	0	0	
3.1359	0.501156	3.1359	0.501156	0	0	
3.09999	0.381273	3.09999	0.381273	0	0	
0.676419	2.06342	0.676419	2.06342	0	0	
0.868886	1.01801	0.868886	1.01801	0	0	
1.25981	1.78237	1.25981	1.78237	0	0	
0.352106	0.404243	0.352106	0.404243	0	0	
0.232011	0.559652	0.232011	0.559652	0	0	
0.588987	1.96461	0.588987	1.96461	0	0	
0.0892185	1.49222	0.0892185	1.49222	0	0	
1.55617	1.02567	1.55617	1.02567	0	0	
1.31157	0.508554	1.31157	0.508554	0	0	
0.0793458	2.24985	0.0793458	2.24985	0	0	
1.63106	0.837876	1.63106	0.837876	0	0	
1.30021	0.527247	1.30021	0.527247	0	0	
0.769087	2.38218	0.769087	2.38218	0	0	
2.63199	1.50026	2.63199	1.50026	0	0	
0.904934	2.38093	0.904934	2.38093	0	0	
2.30506	0.205692	2.30506	0.205692	0	0	
3.10963	0.124659	3.10963	0.124659	0	0	
2.44388	3.05756	2.44388	3.05756	0	0	
1.30416	0.976334	1.30416	0.976334	0	0	
1.89754	0.423336	1.89754	0.423336	0	0	
0.572539	1.4286	0.572539	1.4286	0	0	
1.02108	1.49796	1.02108	1.49796	0	0	
0.143493	0.0793402	0.143493	0.0793402	0	0	
0.277856	2.312	0.277856	2.312	0	0	
2.52258	0.625495	2.52258	0.625495	0	0	
2.88292	2.81991	2.88292	2.81991	0	0	
1.83367	2.13917	1.83367	2.13917	0	0	
2.62261	2.3714	2.62261	2.3714	0	0	



#Generation 2 / 100
currentGen	2
evaluateCount	100
totalTime	0.265328
firstFrontCount	4
frontCount	44
avgEvalTime	1.20818e-05
#end
Var1	Var2	Obj1	Obj2	Cons1	Cons2	
0.12554	1.02428	0.12554	1.02428	0	0	
0.552797	0.930518	0.552797	0.930518	0	0	
0.842843	0.92851	0.842843	0.92851	0	0	
1.15082	0.754442	1.15082	0.754442	0	0	
0.542401	1.16305	0.542401	1.16305	0	0	
0.868886	1.01801	0.868886	1.01801	0	0	
0.603912	1.06764	0.603912	1.06764	0	0	
1.04056	0.938807	1.04056	0.938807	0	0	
0.856586	1.09466	0.856586	1.09466	0	0	
1.25026	0.631171	1.25026	0.631171	0	0	
1.30021	0.527247	1.30021	0.527247	0	0	
0.82631	1.2394	0.82631	1.2394	0	0	
1.31157	0.508554	1.31157	0.508554	0	0	
1.15846	0.979609	1.15846	0.979609	0	0	
1.31334	0.573842	1.31334	0.573842	0	0	
1.21635	0.943448	1.21635	0.943448	0	0	
1.19571	1.02082	1.19571	1.02082	0	0	
0.572539	1.4286	0.572539	1.4286	0	0	
1.30416	0.976334	1.30416	0.976334	0	0	
0.837152	0	0.837152	0	0	0	
1.44274	0.647548	1.44274	0.647548	0	0	
0.535352	0.339744	0.535352	0.339744	0	0	
1.52134	0.368245	1.52134	0.368245	0	0	
0.923558	1.43906	0.923558	1.43906	0	0	
0.215339	1.50957	0.215339	1.50957	0	0	
1.55076	0.54162	1.55076	0.54162	0	0	
1.53778	0.674681	1.53778	0.674681	0	0	
1.573	0.502481	1.573	0.502481	0	0	
0.0892185	1.49222	0.0892185	1.49222	0	0	
1.11819	1.38145	1.11819	1.38145	0	0	
0.801309	1.54645	0.801309	1.54645	0	0	
0.232011	0.559652	0.232011	0.559652	0	0	
0.352106	0.404243	0.352106	0.404243	0	0	
1.02108	1.49796	1.02108	1.49796	0	0	
0.205161	0.440959	0.205161	0.440959	0	0	
0.978721	1.55993	0.978721	1.55993	0	0	
1.55617	1.02567	1.55617	1.02567	0	0	
1.63106	0.837876	1.63106	0.837876	0	0	
1.5763	1.02204	1.5763	1.02204	0	0	
1.48857	1.18786	1.48857	1.18786	0	0	
0.143493	0.0793402	0.143493	0.0793402	0	0	
0	0.265733	0	0.265733	0	0	
0.0941466	1.71818	0.0941466	1.71818	0	0	
1.69566	0	1.69566	0	0	0	
1.81115	0.558444	1.81115	0.558444	0	0	
1.62129	1.1985	1.62129	1.1985	0	0	
1.81284	0.26517	1.81284	0.26517	0	0	
1.89754	0.423336	1.89754	0.423336	0	0	
1.32052	1.64886	1.32052	1.64886	0	0	
1.47017	1.55421	1.47017	1.55421	0	0	



#Generation 3 / 100
currentGen	3
evaluateCount	150
totalTime	0.302842
